start,end,sp_gross,sp_net,dep,dep_usd,cpi,excess_gross,excess_net
2005-12,2006-11,0.09043737478499336,0.07276548456564469,0.09824763748011156,0.013787871002873153,0.08399665286294122,-0.007111567945676245,-0.02320255654993686
2006-01,2006-12,0.09934189815377992,0.08069698210304632,0.09897429210750741,0.00819739927260299,0.08399665286293967,0.00033449922251360675,-0.016631244366427045
2006-02,2007-01,0.09375606251343793,0.07570403151295313,0.09961053559809985,0.015304993547380796,0.08614530827000277,-0.0053241333136896385,-0.021740883077428386
2006-03,2007-02,0.0630657436951485,0.04831363527796695,0.10024709479006022,0.00957087771188947,0.07865465097158886,-0.03379363714839556,-0.047201632940464866
2006-04,2007-03,0.07816436502191682,0.061802936284786725,0.10079316829231355,0.025867566066262837,0.07758455707181589,-0.02055681659571096,-0.03542012535198891
2006-05,2007-04,0.11161567039365905,0.09168915737280647,0.10215880368428976,0.027704077790831727,0.07758455707181722,0.008580312272384871,-0.009499217605017929
2006-06,2007-05,0.2293317031463873,0.19670066289675714,0.10152108574530883,0.06705025438592727,0.07651552477313417,0.11603102206127947,0.08640740371034128
2006-07,2007-06,0.2426655090804024,0.208600933964735,0.10143004342067496,0.0989667200184734,0.08188200296243053,0.12822917488349694,0.09730158640963071
2006-08,2007-07,0.21232746629904153,0.18154440948508888,0.10243184021889107,0.11345822650563142,0.08944006086735956,0.0996847352107777,0.07176186897004877
2006-09,2007-08,0.16062518549205507,0.1354759087966224,0.10379962165836831,0.07637837118511115,0.09487638851639835,0.05148177506014262,0.02869749773121244
2006-10,2007-09,0.10710097417000775,0.08766823287687786,0.10434714131196854,0.016994192379777617,0.11339668563558125,0.0024936297247690753,-0.015102957947875084
2006-11,2007-10,0.08303271211927132,0.06619134201932075,0.10544254267547859,0.013898402926300069,0.15430599781881393,-0.02027227077941951,-0.035507228228397136
2006-12,2007-11,0.017362343814338876,0.007624617908928988,0.10736107931979122,0.01498120655645896,0.17606374976182693,-0.0812731611993579,-0.09006679327408407
2007-01,2007-12,-0.0007168619276398669,-0.009497495940876677,0.10827632940601273,0.02035383566162241,0.18771948563657492,-0.09834477958404841,-0.10626756362288359
2007-02,2008-01,-0.0696968567991898,-0.0779064831509384,0.1098336692638322,0.027598197872874763,0.18771948563657448,-0.16176345251996815,-0.1691606207435581
2007-03,2008-02,-0.058117878425288594,-0.0664341154452599,0.11120960984065342,0.05681717612856496,0.18771948563657403,-0.1523812310174526,-0.15986518089182766
2007-04,2008-03,-0.07491470138085865,-0.08314623299623025,0.11323082616281077,0.056145002728519744,0.18654002239363776,-0.16900854981907676,-0.17640282189807122
2007-05,2008-04,-0.04382803502480492,-0.05235539305267112,0.11396648175584767,0.08975373065045944,0.19126256974644806,-0.14165104548920981,-0.14930599576601278
2007-06,2008-05,-0.07503030401741317,-0.08327897749712232,0.11599338297151451,0.07979221978781514,0.19481151484003068,-0.17116919320820334,-0.1785605215131667
2007-07,2008-06,-0.14228177695054134,-0.15001077926990047,0.11765381286847965,0.07771001226461394,0.19955283037511173,-0.23257254332796606,-0.23948792466552227
2007-08,2008-07,-0.1355372182742418,-0.1433840546866867,0.11876177203860983,0.06406956028958777,0.1995528303751113,-0.22730396825185362,-0.2343178264373602
2007-09,2008-08,-0.15862457611978797,-0.16628059312222576,0.11959356517767206,0.03790132709380134,0.20074404470517604,-0.2484992321774453,-0.2553374431502127
2007-10,2008-09,-0.2271755518743036,-0.23425106931808992,0.11700319831062744,0.08591884972767283,0.18194570349648376,-0.3081269155768508,-0.3144612908539203
2007-11,2008-10,-0.36641186057287245,-0.3722902761286434,0.1176488648992462,0.08699721998559484,0.13892469130025265,-0.4331062650126306,-0.43836589148422445
2007-12,2008-11,-0.38359805427025495,-0.38941074722255997,0.1170956190293182,0.09171575438396085,0.11341810132955543,-0.44821022011942246,-0.4534136179783773
2008-01,2008-12,-0.36751467136312754,-0.37358035308107385,0.11774139236594428,0.10135393295072803,0.09484292201394906,-0.4341398350667869,-0.43956656593617605
2008-02,2009-01,-0.3798864398520876,-0.3858567268890972,0.11755687046873153,0.10829138167656005,0.08617947653807279,-0.4451167752314733,-0.45045904209481924
2008-03,2009-02,-0.29459017285050326,-0.3015449653591995,0.11755687046873153,0.36468975142784354,0.08617947653807323,-0.36879290370822015,-0.3750161149760094
2008-04,2009-03,-0.2233442513917535,-0.23103868311882725,0.11774133145255061,0.37348985804873114,0.08833887907592253,-0.3051560976107499,-0.3120400085036884
2008-05,2009-04,-0.19016287035311907,-0.1982466625378182,0.11644957161762104,0.3689151934424981,0.08726024787763031,-0.27463169834575696,-0.281872322902571
2008-06,2009-05,-0.15862906250311348,-0.16708094681329544,0.11654174115213922,0.36128709052742236,0.08403076199284554,-0.24644918637014768,-0.25401888484058777
2008-07,2009-06,-0.08089866473472707,-0.09012092392367455,0.11663389547214198,0.3578629135893756,0.07546134885456257,-0.17690002158079499,-0.18515900353212478
2008-08,2009-07,0.0036417940620729894,-0.006410724900013154,0.11562019795211298,0.36363311101698415,0.06906613766216618,-0.10037323104726237,-0.10938393108706002
2008-09,2009-08,0.031237626583286104,0.01879023312203998,0.11331786140359013,0.36937068042604415,0.06270264874751019,-0.07372578637768668,-0.08490623527981178
2008-10,2009-09,0.1728824663828954,0.14505079229106954,0.10907629923491657,0.3641355170725036,0.06058991982355866,0.05753090855155296,0.03243644560880932
2008-11,2009-10,0.381520533836206,0.3310723422633408,0.10266915712495162,0.3580708486928894,0.05848139115591722,0.2528876181123252,0.20713664081610572
2008-12,2009-11,0.5494575700449609,0.48091595328572523,0.09884644935778297,0.33055022703383585,0.05953565548973905,0.41007651337503614,0.34770054009933915
2009-01,2009-12,0.55355085956672,0.48482990197588616,0.09839298020568776,0.3198695496033279,0.06376533874518553,0.4143852770033165,0.35182027628930523
2009-02,2010-01,0.6244523469446401,0.5481368515298937,0.09721415508039488,0.308118196000829,0.0754317582129802,0.4805244166993212,0.41097054240651754
2009-03,2010-02,0.5044191320778799,0.4414458396943044,0.09621784042744097,0.04907473699835907,0.07649865479850826,0.3723724214260842,0.31492645579664247
2009-04,2010-03,0.45524974293139553,0.3977083737746401,0.09531329562966273,0.04043646657803146,0.07543069978382722,0.32861506268379226,0.27608089790523316
2009-05,2010-04,0.3521482909359921,0.3058728170503877,0.09558486090957108,0.04140506365054586,0.07436380424832767,0.23417942249897306,0.1919412759740331
2009-06,2010-05,0.1782167578465108,0.15080638254603618,0.09386650922084039,0.03988634044475026,0.07329690871282879,0.07711201313380833,0.052053767845725574
