month,sp500_tr_usd,sp500_price_usd,spy_adj_usd,usdkzt,dep_kzt_rate,dep_usd_rate,cpi_kz
2016-06,3968.2099609375,2098.860107421875,178.4378204345703,338.87,11.6,2.9,377.50896478210694
2016-07,4114.509765625,2173.60009765625,184.9456787109375,352.25,12.1,2.8,379.39650960601654
2016-08,4120.2900390625,2170.949951171875,185.16717529296875,338.98,12.5,2.9,380.1553026252295
2016-09,4121.06005859375,2168.27001953125,185.1779022216797,334.93,12.1,2.6,380.91561323047955
2016-10,4045.889892578125,2126.14990234375,181.9674530029297,333.5,12.2,2.8,383.20110690986354
2016-11,4195.72998046875,2198.81005859375,188.67083740234375,340.3,12.7,2.7,387.79952019277977
2016-12,4278.66015625,2238.830078125,192.4955596923828,333.29,12.2,2.6,391.2897158745158
2017-01,4359.81005859375,2278.8701171875,195.9402008056641,326.25,12.5,2.4,394.42003360151193
2017-02,4532.93017578125,2363.639892578125,203.6389923095703,312.47,12.1,2.5,398.36423393752665
2017-03,4538.2099609375,2362.719970703125,203.8935546875,314.79,12.3,2.5,400.3560551072141
2017-04,4584.81982421875,2384.199951171875,205.9174041748047,314.4,12.3,2.6,402.35783538275064
2017-05,4649.33984375,2411.800048828125,208.8235321044922,311.23,12.4,2.3,404.36962455966403
2017-06,4678.35986328125,2423.409912109375,210.1547393798828,321.46,12.4,2.2,405.9871030579032
2017-07,4774.56005859375,2470.300048828125,214.4743499755859,326.74,12.1,2.2,406.39309016096126
2017-08,4789.18017578125,2471.64990234375,215.10008239746097,334.7,12.2,2.1,406.79948325112287
2017-09,4887.97021484375,2519.360107421875,219.4342498779297,341.19,12.1,2.0,408.0198817008751
2017-10,5002.02978515625,2575.260009765625,224.60494995117188,334.0,11.9,2.1,412.9161202812862
2017-11,5155.43994140625,2647.580078125,231.47035217285156,331.61,11.7,2.0,416.6323653638166
2017-12,5212.759765625,2673.610107421875,234.27748107910156,332.33,11.7,2.1,419.5487919213635
2018-01,5511.2099609375,2823.81005859375,247.4811859130859,322.43,11.9,2.1,422.06608467289357
2018-02,5308.08984375,2713.830078125,238.48260498046875,318.68,11.5,1.8,425.02054726560334
2018-03,5173.18994140625,2640.8701171875,231.9457092285156,318.31,11.6,1.8,427.14565000193056
2018-04,5193.0400390625,2648.050048828125,233.14447021484375,327.25,11.6,1.7,428.8542326019397
2018-05,5318.10009765625,2705.27001953125,238.8119659423828,330.67,11.4,1.8,429.7119410671433
2018-06,5350.830078125,2718.3701171875,240.18540954589844,341.08,11.2,1.8,430.57136494927784
2018-07,5549.9599609375,2816.2900390625,249.0833740234375,347.06,11.3,1.6,431.0019363142253
2018-08,5730.7998046875,2901.52001953125,257.03411865234375,363.43,11.2,1.8,431.86394018685456
2018-09,5763.419921875,2913.97998046875,258.5622863769531,363.07,10.8,1.7,433.5913959476013
2018-10,5369.490234375,2711.739990234375,240.6945953369141,368.55,10.7,1.6,435.32576153139144
2018-11,5478.91015625,2760.169921875,245.15928649902344,371.28,10.6,1.5,439.24369338517533
2018-12,4984.22021484375,2506.85009765625,223.57334899902344,384.2,10.4,1.4,442.318399238872
2019-01,5383.6298828125,2704.10009765625,241.4738922119141,380.51,10.2,1.5,444.52999123506646
2019-02,5556.490234375,2784.489990234375,249.3014678955078,377.26,9.5,1.2,445.86358120876986
2019-03,5664.4599609375,2834.39990234375,253.81393432617188,380.04,9.4,1.1,448.0928991148147
2019-04,5893.81005859375,2945.830078125,264.182861328125,381.94,9.9,1.0,450.3333636103897
2019-05,5519.27001953125,2752.06005859375,247.3355712890625,381.37,9.3,1.2,453.03536379205013
2019-06,5908.25,2941.760009765625,264.54681396484375,380.53,9.4,1.2,453.941434519635
2019-07,5993.169921875,2980.3798828125,268.5466003417969,384.56,9.7,1.2,454.84931738867385
2019-08,5898.22998046875,2926.4599609375,264.05023193359375,387.46,9.4,1.1,455.7590160234516
2019-09,6008.58984375,2976.739990234375,269.1880798339844,387.63,9.3,1.1,457.12629307152196
2019-10,6138.72998046875,3037.56005859375,275.1384582519531,388.54,9.2,1.1,459.8690508299522
2019-11,6361.56005859375,3140.97998046875,285.09796142578125,386.35,9.1,1.3,463.0881341857604
2019-12,6553.56982421875,3230.780029296875,293.3816223144531,381.18,9.0,1.4,466.32975112506097
2020-01,6551.0,3225.52001953125,293.26312255859375,378.8,9.3,1.3,470.3327834961774
2020-02,6011.72998046875,2954.219970703125,270.0467224121094,381.1,8.9,1.4,473.15478004040443
2020-03,5269.2001953125,2584.590087890625,236.32562255859375,448.01,9.1,1.1,477.4131730593243
2020-04,5944.68017578125,2912.429931640625,266.33514404296875,429.41,10.0,1.2,481.7098915384823
2020-05,6227.81005859375,3044.31005859375,279.0247497558594,411.54,10.3,1.1,484.1184411091722
2020-06,6351.669921875,3100.2900390625,283.9731140136719,403.83,9.9,1.1,486.05479019781603
2020-07,6709.81005859375,3271.1201171875,300.6968994140625,418.0,10.0,1.1,487.5141254024214
2020-08,7192.10986328125,3500.31005859375,321.6844787597656,420.11,9.8,1.4,488.0021732550321
2020-09,6918.830078125,3363.0,309.6394958496094,429.51,9.8,1.1,489.46631681286294
2020-10,6734.83984375,3269.9599609375,301.9190673828125,432.64,9.5,1.0,492.40181645836856
2020-11,7472.06005859375,3621.6298828125,334.7608337402344,423.87,9.3,1.0,496.8327139576874
2020-12,7759.35009765625,3756.070068359375,347.1632080078125,420.71,9.2,1.0,501.3044824594404
2021-01,7681.009765625,3714.239990234375,343.62548828125,424.22,9.4,1.0,504.31210740336263
2021-02,7892.81005859375,3811.14990234375,353.1800842285156,417.02,8.9,0.9,507.84384284910084
2021-03,8238.48046875,3972.889892578125,369.2142333984375,424.34,9.4,1.3,510.88993461884417
2021-04,8678.16015625,4181.169921875,388.74957275390625,427.75,9.0,0.9,513.1764385679066
2021-05,8738.76953125,4204.10986328125,391.3021545410156,427.9,8.6,0.9,517.1433682071615
2021-06,8942.7802734375,4297.5,400.0780334472656,427.79,8.6,0.9,522.5528175185284
2021-07,9155.2099609375,4395.259765625,409.844970703125,424.44,8.5,0.9,526.159117299858
2021-08,9433.580078125,4522.68017578125,422.04193115234375,425.74,8.3,1.0,531.1234850009698
2021-09,8994.830078125,4307.5400390625,402.3723449707031,425.67,8.3,0.9,533.2463729509965
2021-10,9625.01953125,4605.3798828125,430.6042785644531,427.11,8.4,0.9,536.9800592322971
2021-11,9558.330078125,4567.0,427.1443786621094,433.74,8.4,0.9,540.7401914563532
2021-12,9986.7001953125,4766.18017578125,446.89892578125,431.67,8.0,0.8,543.9834257084298
2022-01,9469.919921875,4515.5498046875,423.3289489746094,433.83,8.5,0.8,547.7916414647615
2022-02,9186.3701171875,4373.93994140625,410.8335266113281,467.09,8.5,0.8,552.1744554318045
2022-03,9527.4599609375,4530.41015625,426.2768859863281,458.2,10.0,0.8,572.6051482962647
2022-04,8696.650390625,4131.93017578125,388.8629760742187,446.38,10.6,0.8,584.0562415080119
2022-05,8712.599609375,4132.14990234375,389.74078369140625,427.39,11.0,0.8,592.2328461717017
2022-06,7993.43017578125,3785.3798828125,357.6025695800781,465.08,11.4,0.8,601.7077062068689
2022-07,8730.4599609375,4130.2900390625,390.5332336425781,477.09,11.8,0.8,608.3264044247849
2022-08,8374.419921875,3955.0,374.5987854003906,468.1,12.1,0.9,616.8444021676412
2022-09,7603.14013671875,3585.6201171875,339.9686279296875,476.89,12.2,0.8,627.9468897703806
2022-10,8218.7001953125,3871.97998046875,367.5997924804687,467.0,12.6,0.9,637.9939438396433
2022-11,8678.0,4080.110107421875,388.03515625,468.43,13.1,0.8,646.925459960079
2022-12,8178.02001953125,3839.5,365.6734313964844,462.65,13.3,0.9,654.6885462461868
2023-01,8691.8798828125,4076.60009765625,388.6696166992187,459.92,13.8,0.8,661.8914593812711
2023-02,8479.7998046875,3970.14990234375,378.8974609375,449.14,13.5,0.9,670.496007482223
2023-03,8791.1298828125,4109.31005859375,392.9461364746094,448.05,13.5,0.8,676.5304907829767
